Title,Empirical Contribution,Artifact Contribution,Methodological Contribution,Theoretical Contribution,Dataset Contribution,Meta Review Contribution,Programming,Responsible Computing,Reliability and Validity of LLMs,Accessibility & Aging,Well-being & Health,Communication/Writing,Design,Creativity,Education,Augmenting human capabilities,LLMs as system engines,LLMs as research tools,LLMs as participants & users,LLMs as objects of study,Users' perceptions of LLMs
ClassMeta: Designing Interactive Virtual Classmate to Promote VR Classroom Participation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"CloChat: Understanding How People Customize, Interact, and Experience Personas in Large Language Models",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"An Empathy-Based Sandbox Approach to Bridge the Privacy Gap among Attitudes, Goals, Knowledge, and Behaviors",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Deus Ex Machina and Personas from Large Language Models: Investigating the Composition of AI-Generated Persona Descriptions,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Illusion of Empathy? Notes on Displays of Emotion in Human-Computer Interaction,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Evaluating Large Language Models in Generating Synthetic HCI Research Data: a Case Study,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"If in a Crowdsourced Data Annotation Pipeline, a GPT-4",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Natural Language Dataset Generation Framework for Visualizations Powered by Large Language Models,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Human-LLM Collaborative Annotation Through Effective Verification of LLM Labels,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Concept Induction: Analyzing Unstructured Text with High-Level Concepts Using LLooM,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Empowering Calibrated (Dis-)Trust in Conversational Agents: A User Study on the Persuasive Power of Limitation Disclaimers vs. Authoritative Style,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Will AI Console Me when I Lose my Pet? Understanding Perceptions of AI-Mediated Email Writing,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
MUD: Towards a Large-Scale and Noise-Filtered UI Dataset for Modern Style UI Modeling,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Under the (neighbor)hood: Hyperlocal Surveillance on Nextdoor,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Leveraging Prompt-Based Large Language Models: Predicting Pandemic Health Decisions and Outcomes Through Social Media Language,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
SimUser: Generating Usability Feedback by Simulating Various Users Interacting with Mobile Applications,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Moral Framing of Mental Health Discourse and Its Relationship to Stigma: A Comparison of Social Media and News,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Pretty Princess vs. Successful Leader: Gender Roles in Greeting Card Messages,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
Studying the Effects of Cognitive Biases in Evaluation of Conversational Agents,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
A Canary in the AI Coal Mine: American Jews May Be Disproportionately Harmed by Intellectual Property Dispossession in Large Language Model Training,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Unraveling the Dilemma of AI Errors: Exploring the Effectiveness of Human and Machine Explanations for Large Language Models,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Art or Artifice? Large Language Models and the False Promise of Creativity,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
Is Stack Overflow Obsolete? An Empirical Study of the Characteristics of ChatGPT Answers to Stack Overflow Questions,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"Towards AI-Driven Healthcare: Systematic Optimization, Linguistic Analysis, and Clinicians' Evaluation of Large Language Models for Smoking Cessation Interventions",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Understanding the Benefits and Challenges of Deploying Conversational AI Leveraging Large Language Models for Public Health Intervention,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Generating Automatic Feedback on UI Mockups with Large Language Models,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
RELIC: Investigating Large Language Model Responses using Self-Consistency,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
HILL: A Hallucination Identifier for Large Language Models,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
EvalLM: Interactive Evaluation of Large Language Model Prompts on User-Defined Criteria,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
Designing Accessible Obfuscation Support for Blind Individuals' Visual Privacy Management,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
AXNav: Replaying Accessibility Tests from Natural Language,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Reducing the Search Space on demand helps Older Adults find Mobile UI Features quickly, on par with Younger Adults",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Rehearsal: Simulating Conflict to Teach Conflict Resolution,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
MindTalker: Navigating the Complexities of AI-Enhanced Social Engagement for People with Early-Stage Dementia,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Human I/O: Towards a Unified Approach to Detecting Situational Impairments,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Visual Captions: Augmenting Verbal Communication with On-the-fly Visuals,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"CollabCoder: A Lower-barrier, Rigorous Workflow for Inductive Collaborative Qualitative Analysis with Large Language Models",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Enabling Conversational Interaction with Mobile UI using Large Language Models,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ABScribe: Rapid Exploration & Organization of Multiple Writing Variations in Human-AI Co-Writing Tasks using Large Language Models,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
OmniActions: Predicting Digital Actions in Response to Real-World Multimodal Sensory Inputs with LLMs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
TapType: Ten-finger text entry on everyday surfaces via Bayesian inference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
TypeAnywhere: A QWERTY-Based Text Entry Solution for Ubiquitous Computing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
VAL: Interactive Task Learning with GPT Dialog Parsing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Marco: Supporting Business Document Workflows via Collection-Centric Information Foraging with Large Language Models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Mirror Ritual: An Affective Interface for Emotional Self-Reflection,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Eternagram: Probing Player Attitudes Towards Climate Change Using a ChatGPT-driven Text-based Adventure,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Selenite: Scaffolding Online Sensemaking with Comprehensive Overviews Elicited from Large Language Models,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
PaperWeaver: Enriching Topical Paper Alerts by Contextualizing Recommended Papers with User-collected Papers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
