Title,Hallucinations,LLM bias toward different groups,Limits of LLM data coverage,Non-deterministic response,Other technical bugs,Unspecified errors/bias,External Validity across Context,External Validity across Model,External Validity across Prompt,External Validity across User,Internal Validity across Context,Internal Validity across Model,Internal Validity across Prompt,Internal Validity across User,Computational cost,Financial cost,Lack of evaluation standards/metrics,Others (Resource Limitation),Environmental cost,Hate speech,Malicious Use,Misinformation,Economic harms,Privacy,representational harms
RELIC: Investigating Large Language Model Responses using Self-Consistency.,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
Generating Automatic Feedback on UI Mockups with Large Language Models.,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Studying the Effects of Cognitive Biases in Evaluation of Conversational Agents.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MindShift: Leveraging Large Language Models for Mental-States-Based Problematic Smartphone Use Intervention.,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Memoro: Using Large Language Models to Realize a Concise Interface for Real-Time Memory Augmentation.,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Unraveling the Dilemma of AI Errors: Exploring the Effectiveness of Human and Machine Explanations for Large Language Models.,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"""It's the only thing I can trust"": Envisioning Large Language Model Use by Autistic Workers for Communication Assistance.",0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
HILL: A Hallucination Identifier for Large Language Models.,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Canary in the AI Coal Mine: American Jews May Be Disproportionately Harmed by Intellectual Property Dispossession in Large Language Model Training.,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Designing Scaffolding Strategies for Conversational Agents in Dialog Task of Neurocognitive Disorders Screening.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SimUser: Generating Usability Feedback by Simulating Various Users Interacting with Mobile Applications.,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Natural Language Dataset Generation Framework for Visualizations Powered by Large Language Models.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Stylette: Styling the Web with Natural Language.,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
